# wavelength_um incident_flux
1.600000000000000089e+00 -1.166470890337930739e-05
1.579999999999999849e+00 -1.966775306950012709e-05
1.560493827160493785e+00 -2.403163550125321494e-05
1.541463414634146378e+00 -3.221334622523858106e-05
1.522891566265060392e+00 -4.520082820114047474e-05
1.504761904761904745e+00 -6.479001883646997608e-05
1.487058823529411766e+00 -9.371052592533550378e-05
1.469767441860465151e+00 -1.358259214157853134e-04
1.452873563218390895e+00 -1.964565147780280836e-04
1.436363636363636287e+00 -2.827928778878804178e-04
1.420224719101123689e+00 -4.043905077295362259e-04
1.404444444444444384e+00 -5.737360695151746872e-04
1.389010989010988961e+00 -8.068671581918466238e-04
1.373913043478260931e+00 -1.124014476885827922e-03
1.359139784946236551e+00 -1.550219103449711937e-03
1.344680851063829952e+00 -2.115859275609034175e-03
1.330526315789473779e+00 -2.857002552038724174e-03
1.316666666666666652e+00 -3.815482673042974032e-03
1.303092783505154673e+00 -5.038588990801714206e-03
1.289795918367346861e+00 -6.578253481416422403e-03
1.276767676767676774e+00 -8.489629710979574098e-03
1.264000000000000012e+00 -1.082898289922508590e-02
1.251485148514851486e+00 -1.365085250912089626e-02
1.239215686274509620e+00 -1.700450889976152374e-02
1.227184466019417552e+00 -2.092980138702770290e-02
1.215384615384615508e+00 -2.545258158143591520e-02
1.203809523809523885e+00 -3.057997520478021244e-02
1.192452830188679203e+00 -3.629585729540234923e-02
1.181308411214953225e+00 -4.255694776181338790e-02
1.170370370370370283e+00 -4.928997445724342397e-02
1.159633027522935622e+00 -5.639033875103810489e-02
1.149090909090909163e+00 -6.372265701839774366e-02
1.138738738738738654e+00 -7.112343887751042260e-02
1.128571428571428559e+00 -7.840600431558551742e-02
1.118584070796460272e+00 -8.536754877244509543e-02
1.108771929824561298e+00 -9.179805589638906360e-02
1.099130434782608745e+00 -9.749055496729634729e-02
1.089655172413793061e+00 -1.022520468408594230e-01
1.080341880341880278e+00 -1.059143109819483120e-01
1.071186440677966090e+00 -1.083437460628955962e-01
1.062184873949579833e+00 -1.094494516135520318e-01
1.053333333333333455e+00 -1.091888658307342413e-01
1.044628099173553704e+00 -1.075704735541844481e-01
1.036065573770491799e+00 -1.046533449430465390e-01
1.027642276422764178e+00 -1.005435399278580416e-01
1.019354838709677358e+00 -9.538768465633686022e-02
1.011199999999999877e+00 -8.936426376790265746e-02
1.003174603174603163e+00 -8.267335092779815042e-02
9.952755905511810885e-01 -7.552560179271462781e-02
9.874999999999999334e-01 -6.813135067852643667e-02
9.798449612403101749e-01 -6.069058733388908028e-02
9.723076923076922062e-01 -5.338445597784571145e-02
9.648854961832061816e-01 -4.636873455637989527e-02
9.575757575757575246e-01 -3.976954247341984994e-02
9.503759398496239852e-01 -3.368131423580804362e-02
9.432835820895520973e-01 -2.816688708381366243e-02
9.362962962962961821e-01 -2.325939969907992247e-02
9.294117647058823817e-01 -1.896559725029643012e-02
9.226277372262773335e-01 -1.527008856236299408e-02
9.159420289855072506e-01 -1.214010116486404119e-02
9.093525179856114526e-01 -9.530321102472295858e-03
9.028571428571428026e-01 -7.387475215167304231e-03
8.964539007092199308e-01 -5.654401511330839521e-03
8.901408450704225706e-01 -4.273445915129249137e-03
8.839160839160838945e-01 -3.189111005844382819e-03
8.777777777777777679e-01 -2.349956757754309653e-03
8.717241379310344263e-01 -1.709810411797558702e-03
8.657534246575342429e-01 -1.228380933900398908e-03
8.598639455782313146e-01 -8.713939606574258243e-04
8.540540540540539904e-01 -6.103682867358260766e-04
8.483221476510066639e-01 -4.221483906014676852e-04
8.426666666666665639e-01 -2.882930542795729282e-04
8.370860927152318220e-01 -1.944014243995506835e-04
8.315789473684209732e-01 -1.294379043326461087e-04
8.261437908496731541e-01 -8.509829562003132025e-05
8.207792207792207195e-01 -5.524309928365802235e-05
8.154838709677418862e-01 -3.541057320147249438e-05
8.102564102564102644e-01 -2.241221405240023329e-05
8.050955414012738176e-01 -1.400655665001933178e-05
8.000000000000000444e-01 -8.643093527367245760e-06
