# wavelength_um reflectance
8.000000000000000444e-01 5.233910336164340760e-02
8.050955414012738176e-01 4.779606632578632663e-02
8.102564102564102644e-01 4.158831148772595271e-02
8.154838709677418862e-01 4.042515468269004819e-02
8.207792207792207195e-01 3.972043222119080869e-02
8.261437908496731541e-01 3.908288859219154199e-02
8.315789473684209732e-01 3.845789969798072555e-02
8.370860927152318220e-01 3.785672041296350709e-02
8.426666666666665639e-01 3.730086715173236422e-02
8.483221476510066639e-01 3.680450662349768476e-02
8.540540540540539904e-01 3.636995205244863277e-02
8.598639455782313146e-01 3.598915136979621149e-02
8.657534246575342429e-01 3.564788877943918244e-02
8.717241379310344263e-01 3.533042650077358737e-02
8.777777777777777679e-01 3.502328182521635691e-02
8.839160839160838945e-01 3.471747525318576860e-02
8.901408450704225706e-01 3.440920387282604687e-02
8.964539007092199308e-01 3.409922610832195194e-02
9.028571428571428026e-01 3.379143701530473720e-02
9.093525179856114526e-01 3.349115317337392900e-02
9.159420289855072506e-01 3.320353762326275215e-02
9.226277372262773335e-01 3.293246069485644689e-02
9.294117647058823817e-01 3.267992703485159134e-02
9.362962962962961821e-01 3.244605897930050165e-02
9.432835820895520973e-01 3.222952371949040773e-02
9.503759398496239852e-01 3.202822980520154961e-02
9.575757575757575246e-01 3.184010279776106761e-02
9.648854961832061816e-01 3.166378226150944747e-02
9.723076923076922062e-01 3.149911808750791020e-02
9.798449612403101749e-01 3.134742223350622109e-02
9.874999999999999334e-01 3.121151110555745248e-02
9.952755905511810885e-01 3.109551227190669037e-02
1.003174603174603163e+00 3.100461882639960268e-02
1.011199999999999877e+00 3.094482908548231229e-02
1.019354838709677358e+00 3.092276154765898413e-02
1.027642276422764178e+00 3.094558037729425864e-02
1.036065573770491799e+00 3.102100545764472153e-02
1.044628099173553704e+00 3.115729934971018730e-02
1.053333333333333455e+00 3.136305627211424113e-02
1.062184873949579833e+00 3.164674610929288368e-02
1.071186440677966090e+00 3.201671187337624958e-02
1.080341880341880278e+00 3.248536923582921038e-02
1.089655172413793061e+00 3.309165278892096940e-02
1.099130434782608745e+00 3.398990094124343386e-02
1.108771929824561298e+00 3.580247897363036252e-02
1.118584070796460272e+00 4.152367708569602855e-02
1.128571428571428559e+00 7.539189590278598530e-02
1.138738738738738654e+00 5.402400297904174503e-02
1.149090909090909163e+00 2.817694463073535174e-02
1.159633027522935622e+00 2.468424402148013466e-02
1.170370370370370283e+00 2.344182228557565445e-02
1.181308411214953225e+00 2.274305169560253762e-02
1.192452830188679203e+00 2.227925631770352050e-02
1.203809523809523885e+00 2.195743866864104804e-02
1.215384615384615508e+00 2.173675714859439265e-02
1.227184466019417552e+00 2.159508367234743570e-02
1.239215686274509620e+00 2.151997726000496811e-02
1.251485148514851486e+00 2.150540528568864462e-02
1.264000000000000012e+00 2.155012406997089749e-02
1.276767676767676774e+00 2.165651485305252963e-02
1.289795918367346861e+00 2.182958962971751418e-02
1.303092783505154673e+00 2.207613779934567214e-02
1.316666666666666652e+00 2.240410620208410988e-02
1.330526315789473779e+00 2.282238510504490392e-02
1.344680851063829952e+00 2.334118778713467623e-02
1.359139784946236551e+00 2.397324113134842102e-02
1.373913043478260931e+00 2.473591768412664038e-02
1.389010989010988961e+00 2.565445431989702221e-02
1.404444444444444384e+00 2.676642490842717770e-02
1.420224719101123689e+00 2.812780519997537185e-02
1.436363636363636287e+00 2.982170375518458996e-02
1.452873563218390895e+00 3.197238584915403775e-02
1.469767441860465151e+00 3.477165906415271429e-02
1.487058823529411766e+00 3.853638794168377096e-02
1.504761904761904745e+00 4.385111595515137073e-02
1.522891566265060392e+00 5.197208011395648697e-02
1.541463414634146378e+00 6.617686242348184977e-02
1.560493827160493785e+00 9.753760367789408858e-02
1.579999999999999849e+00 2.029147231681319719e-01
1.600000000000000089e+00 1.090259861968552624e+00
