# wavelength(um)  R_ex
4.499999999999999556e-01 1.109340071213897605e-01
4.523759239704329138e-01 8.300945447692058277e-02
4.547770700636942220e-01 5.957289035399866706e-02
4.572038420490928123e-01 5.823203413529563777e-02
4.596566523605149501e-01 6.601607619039855102e-02
4.621359223300970376e-01 7.525741935478982847e-02
4.646420824295010021e-01 7.914623287278835240e-02
4.671755725190838704e-01 6.783637816370330365e-02
4.697368421052630638e-01 5.795720133800068286e-02
4.723263506063946071e-01 5.337520163931035871e-02
4.749445676274944295e-01 6.304284033355171679e-02
4.775919732441471499e-01 6.853044681672229577e-02
4.802690582959641130e-01 8.077186848301853850e-02
4.829763246899661522e-01 9.324415270133754041e-02
4.857142857142856540e-01 8.658073027491701434e-02
4.884834663625997053e-01 8.708785045805203517e-02
4.912844036697248118e-01 7.435625110983014319e-02
4.941176470588235503e-01 4.759577375255631682e-02
4.969837587006960544e-01 1.848627239844402928e-02
4.998833138856476066e-01 1.773769801278559516e-02
5.028169014084505895e-01 3.543147902124759580e-02
5.057851239669420851e-01 5.998366281594767757e-02
5.087885985748218376e-01 8.548493279258992383e-02
5.118279569892473235e-01 1.182314211812269394e-01
5.149038461538461009e-01 1.089100779491437715e-01
5.180169286577992471e-01 1.235131044888524432e-01
5.211678832116788396e-01 1.447506941571718719e-01
5.243574051407587922e-01 1.953990339307296598e-01
5.275862068965516682e-01 3.847645202863720915e-01
5.308550185873605054e-01 4.433335361029480670e-01
5.341645885286782081e-01 3.295186202364214223e-02
5.375156838143035909e-01 4.584669519663007314e-02
5.409090909090908950e-01 4.552632511412692262e-02
5.443456162642947849e-01 4.061158681885886773e-02
5.478260869565216851e-01 7.511621558020922795e-02
5.513513513513512709e-01 1.033704635020952223e-01
5.549222797927459983e-01 5.933681259756562465e-02
5.585397653194262846e-01 4.339767498483564773e-02
5.622047244094487972e-01 9.605814216223458601e-02
5.659180977542932478e-01 1.377129388279870748e-01
5.696808510638297074e-01 1.779701355336215651e-01
5.734939759036145057e-01 1.796925404426054362e-01
5.773584905660377187e-01 1.752477161939922645e-01
5.812754409769335107e-01 1.794932632166028608e-01
5.852459016393442015e-01 1.669058725036180746e-01
5.892709766162310681e-01 5.146882189005046876e-02
5.933518005540164841e-01 3.784560925901989115e-02
5.974895397489539128e-01 3.017065285517672724e-02
6.016853932584268483e-01 4.171046376450524007e-02
6.059405940594059237e-01 5.919905923476309617e-02
6.102564102564101978e-01 1.218498893378046621e-01
6.146341463414632944e-01 2.395808023101458628e-01
6.190751445086705163e-01 2.604210578147675981e-01
6.235807860262008173e-01 1.426283000601510087e-01
6.281524926686216093e-01 1.404544738039757434e-01
6.327917282127030196e-01 1.386726631143480604e-01
6.374999999999999556e-01 1.425779434312056393e-01
6.422788605697150599e-01 1.592138090916495330e-01
6.471299093655588086e-01 1.554081669917397879e-01
6.520547945205479312e-01 1.168992953111415850e-01
6.570552147239263618e-01 9.315674555697081582e-02
6.621329211746521670e-01 8.990456247687335367e-02
6.672897196261682318e-01 6.425089651270693425e-02
6.725274725274724696e-01 9.455870581037952027e-02
6.778481012658227334e-01 1.713642727050957160e-01
6.832535885167463352e-01 2.470436867878818554e-01
6.887459807073954554e-01 3.300256777521841101e-01
6.943273905996757422e-01 1.907766400513348781e-01
6.999999999999998446e-01 1.691670421091949761e-01
7.057660626029652606e-01 2.550783169658635829e-01
7.116279069767441623e-01 3.200141908762227927e-01
7.175879396984923275e-01 5.227059969430304653e-02
7.236486486486485292e-01 1.538779974231280212e-01
7.298126064735945828e-01 3.975722457873465121e-02
7.360824742268040621e-01 9.551850396442070068e-02
7.424610051993066895e-01 8.991330616015219546e-02
7.489510489510489144e-01 6.515738256554014229e-02
7.555555555555554248e-01 1.723786484181974166e-01
7.622775800711742988e-01 2.778397801822357072e-01
7.691202872531416324e-01 2.186173127326597465e-01
7.760869565217390909e-01 2.470195140524324984e-01
7.831809872029249497e-01 1.902821057327397647e-01
7.904059040590404317e-01 1.190261397465521009e-01
7.977653631284914448e-01 1.199025334372638557e-01
8.052631578947367919e-01 2.394269278138295154e-01
8.129032258064515792e-01 2.667876844766404187e-01
8.206896551724137678e-01 2.477945709662948692e-01
8.286266924564795744e-01 2.060122187056659671e-01
8.367187499999998446e-01 6.181580671328013726e-02
8.449704142011832397e-01 3.276326296875795713e-02
8.533864541832667516e-01 1.003590189018454815e-01
8.619718309859154548e-01 2.147099167138503684e-01
8.707317073170730559e-01 3.700630089047406424e-01
8.796714579055440186e-01 4.265409144999119939e-01
8.887966804979251512e-01 2.215933938655022528e-01
8.981132075471697229e-01 8.751395030555612908e-02
9.076271186440677541e-01 1.699787286668701658e-01
9.173447537473232716e-01 2.667573295331564509e-01
9.272727272727271375e-01 3.915038806499838153e-01
9.374179431072208191e-01 3.615300956613290428e-01
9.477876106194688122e-01 6.013007058580959602e-02
9.583892617449664142e-01 7.535360217790397497e-02
9.692307692307691180e-01 1.034414401451879406e-01
9.803203661327229979e-01 1.838598335324594935e-01
9.916666666666664742e-01 7.516576619782083801e-02
1.003278688524590123e+00 1.328340402696108480e-01
1.015165876777251119e+00 1.245233132313564722e-01
1.027338129496402797e+00 3.467943013934061680e-01
1.039805825242718251e+00 1.574788844106994046e-01
1.052579852579852426e+00 2.705236383553405455e-01
1.065671641791044566e+00 3.376403970132876853e-01
1.079093198992443048e+00 3.545636824418481048e-01
1.092857142857142527e+00 3.394187253162012086e-01
1.106976744186046302e+00 2.951034744796362519e-01
1.121465968586387252e+00 1.808328801855992041e-01
1.136339522546418790e+00 1.394144598610191910e-02
1.151612903225806228e+00 8.534625760654816762e-02
1.167302452316075989e+00 2.845870594651900287e-01
1.183425414364640771e+00 5.580583355065579232e-01
1.199999999999999734e+00 7.073164393458918342e-01
