# wavelength(um)  R_ey
4.499999999999999556e-01 4.444206612167740655e-02
4.523759239704329138e-01 3.145775089654648249e-02
4.547770700636942220e-01 1.307557079315231283e-02
4.572038420490928123e-01 1.485097553956125915e-02
4.596566523605149501e-01 1.766026051354081111e-02
4.621359223300970376e-01 2.926621237579589418e-02
4.646420824295010021e-01 4.042840314117961825e-02
4.671755725190838704e-01 4.549391736445495410e-02
4.697368421052630638e-01 5.171123571561729582e-02
4.723263506063946071e-01 4.599537972742615693e-02
4.749445676274944295e-01 3.898695600024373181e-02
4.775919732441471499e-01 4.494518146236942818e-02
4.802690582959641130e-01 4.989785808051103166e-02
4.829763246899661522e-01 5.227350047149051382e-02
4.857142857142856540e-01 5.021622760439917177e-02
4.884834663625997053e-01 4.162663052735287444e-02
4.912844036697248118e-01 4.498770081497614759e-02
4.941176470588235503e-01 5.187496700191527449e-02
4.969837587006960544e-01 6.839741205452309902e-02
4.998833138856476066e-01 2.737252366099542783e-02
5.028169014084505895e-01 3.391669677727657262e-02
5.057851239669420851e-01 4.162592803738728031e-02
5.087885985748218376e-01 5.388808827160597448e-02
5.118279569892473235e-01 2.569649305187154259e-02
5.149038461538461009e-01 5.231351137724799677e-02
5.180169286577992471e-01 6.526385445969611065e-02
5.211678832116788396e-01 8.754557837103907336e-02
5.243574051407587922e-01 8.007281259514108240e-02
5.275862068965516682e-01 1.477427621487751030e-01
5.308550185873605054e-01 2.618755010291103358e-01
5.341645885286782081e-01 4.258477953285854517e-02
5.375156838143035909e-01 4.255339441868814104e-02
5.409090909090908950e-01 4.509833009628965578e-02
5.443456162642947849e-01 1.846037551412781086e-02
5.478260869565216851e-01 2.801632852303368934e-02
5.513513513513512709e-01 5.028017639389218557e-02
5.549222797927459983e-01 2.882606902543346714e-02
5.585397653194262846e-01 8.310606974592642249e-02
5.622047244094487972e-01 8.289493201797795696e-02
5.659180977542932478e-01 1.172438767853458963e-01
5.696808510638297074e-01 1.249288821129440341e-01
