# wavelength_um reflectance
8.000000000000000444e-01 2.736980851999303715e-02
8.050955414012738176e-01 4.593253092619092176e-02
8.102564102564102644e-01 9.262046927384578326e-03
8.154838709677418862e-01 6.902242857642052268e-03
8.207792207792207195e-01 6.110490993515198602e-03
8.261437908496731541e-01 5.664477876881403653e-03
8.315789473684209732e-01 5.357887264500114932e-03
8.370860927152318220e-01 5.126072959130269745e-03
8.426666666666665639e-01 4.940554534986429068e-03
8.483221476510066639e-01 4.786119852690197234e-03
8.540540540540539904e-01 4.653723016498722762e-03
8.598639455782313146e-01 4.537614229229752945e-03
8.657534246575342429e-01 4.433968795273393083e-03
8.717241379310344263e-01 4.340145511143806215e-03
8.777777777777777679e-01 4.254266266162021713e-03
8.839160839160838945e-01 4.174962054666325230e-03
8.901408450704225706e-01 4.101213621020068090e-03
8.964539007092199308e-01 4.032249086743775260e-03
9.028571428571428026e-01 3.967474826891620628e-03
9.093525179856114526e-01 3.906425346174355502e-03
9.159420289855072506e-01 3.848727847260989803e-03
9.226277372262773335e-01 3.794076279439716117e-03
9.294117647058823817e-01 3.742213983263353427e-03
9.362962962962961821e-01 3.692920956193544626e-03
9.432835820895520973e-01 3.646006999287234804e-03
9.503759398496239852e-01 3.601307877439963341e-03
9.575757575757575246e-01 3.558683828665244915e-03
9.648854961832061816e-01 3.518018944302363227e-03
9.723076923076922062e-01 3.479219904506317042e-03
9.798449612403101749e-01 3.442215206852111600e-03
9.874999999999999334e-01 3.406960017475425730e-03
9.952755905511810885e-01 3.373423017290940341e-03
1.003174603174603163e+00 3.341591311440464222e-03
1.011199999999999877e+00 3.311467108690338643e-03
1.019354838709677358e+00 3.283065869876097744e-03
1.027642276422764178e+00 3.256414948728160712e-03
1.036065573770491799e+00 3.231553578467574479e-03
1.044628099173553704e+00 3.208532986495970466e-03
1.053333333333333455e+00 3.187416332999825404e-03
1.062184873949579833e+00 3.168279990540222302e-03
1.071186440677966090e+00 3.151222060514144007e-03
1.080341880341880278e+00 3.136404379191342576e-03
1.089655172413793061e+00 3.124203843486952469e-03
1.099130434782608745e+00 3.115752501366185392e-03
1.108771929824561298e+00 3.114958976674598971e-03
1.118584070796460272e+00 3.138853238980457861e-03
1.128571428571428559e+00 3.308952319799327198e-03
1.138738738738738654e+00 3.143467962311350880e-03
1.149090909090909163e+00 3.018431357717568479e-03
1.159633027522935622e+00 3.004091058273331873e-03
1.170370370370370283e+00 3.000878506705848513e-03
1.181308411214953225e+00 3.001987037521880800e-03
1.192452830188679203e+00 3.006657658259223858e-03
1.203809523809523885e+00 3.014933772659797277e-03
1.215384615384615508e+00 3.027048332441596885e-03
1.227184466019417552e+00 3.043332996017812219e-03
1.239215686274509620e+00 3.064214222094814328e-03
1.251485148514851486e+00 3.090208373639497050e-03
1.264000000000000012e+00 3.121968056022542647e-03
1.276767676767676774e+00 3.160277490417178620e-03
1.289795918367346861e+00 3.206095063706715202e-03
1.303092783505154673e+00 3.260593148726580962e-03
1.316666666666666652e+00 3.325215474110604363e-03
1.330526315789473779e+00 3.401756420113248580e-03
1.344680851063829952e+00 3.492472866247074009e-03
1.359139784946236551e+00 3.600242258661619059e-03
1.373913043478260931e+00 3.728789846207188237e-03
1.389010989010988961e+00 3.883019835527347537e-03
1.404444444444444384e+00 4.069521012922307744e-03
1.420224719101123689e+00 4.297368565147264251e-03
1.436363636363636287e+00 4.579477972745256940e-03
1.452873563218390895e+00 4.935063492687620686e-03
1.469767441860465151e+00 5.394515015458475546e-03
1.487058823529411766e+00 6.010075624338343317e-03
1.504761904761904745e+00 6.882091450435464004e-03
1.522891566265060392e+00 8.232987916901107761e-03
1.541463414634146378e+00 1.065639562143146611e-02
1.560493827160493785e+00 1.620397588287334628e-02
1.579999999999999849e+00 3.554386718710580290e-02
1.600000000000000089e+00 1.409514998288556031e-01
