# wavelength(um)  R_ex
4.499999999999999556e-01 1.100514153581101662e-01
4.523759239704329138e-01 6.739300508691555003e-02
4.547770700636942220e-01 3.690740837312858451e-03
4.572038420490928123e-01 7.616068448433448157e-02
4.596566523605149501e-01 1.526594182622208196e-01
4.621359223300970376e-01 1.492702370644227450e-01
4.646420824295010021e-01 1.400651074562245246e-01
4.671755725190838704e-01 1.382718630067998888e-01
4.697368421052630638e-01 1.355208894381863816e-01
4.723263506063946071e-01 1.322286584665363363e-01
4.749445676274944295e-01 1.289551470259699961e-01
4.775919732441471499e-01 1.256290647463095544e-01
4.802690582959641130e-01 1.221043519312001585e-01
4.829763246899661522e-01 1.183580141044060369e-01
4.857142857142856540e-01 1.144459626071200331e-01
4.884834663625997053e-01 1.104325114363227250e-01
4.912844036697248118e-01 1.063636291469433892e-01
4.941176470588235503e-01 1.022749061010750082e-01
4.969837587006960544e-01 9.820750726960236765e-02
4.998833138856476066e-01 9.421998857484567558e-02
5.028169014084505895e-01 9.041174954860696500e-02
5.057851239669420851e-01 8.696025715238446530e-02
5.087885985748218376e-01 8.411348480409373829e-02
5.118279569892473235e-01 8.194566214640083834e-02
5.149038461538461009e-01 7.927939908920479672e-02
5.180169286577992471e-01 7.442410725868346677e-02
5.211678832116788396e-01 6.827710150961920077e-02
5.243574051407587922e-01 6.152900597043826914e-02
5.275862068965516682e-01 5.227756700253288064e-02
5.308550185873605054e-01 3.832837700515379087e-02
5.341645885286782081e-01 7.074369039153183270e-02
5.375156838143035909e-01 7.397967004730933438e-02
5.409090909090908950e-01 6.917658929430139936e-02
5.443456162642947849e-01 6.376775723508713856e-02
5.478260869565216851e-01 5.787188496612519217e-02
5.513513513513512709e-01 5.174107817316932895e-02
5.549222797927459983e-01 4.619929500844907611e-02
5.585397653194262846e-01 4.332062901853142578e-02
5.622047244094487972e-01 4.731263855301641452e-02
5.659180977542932478e-01 6.429784994819999489e-02
5.696808510638297074e-01 9.790958843811704837e-02
5.734939759036145057e-01 1.421643680883433736e-01
5.773584905660377187e-01 1.840276413989065940e-01
5.812754409769335107e-01 2.154334550081901944e-01
5.852459016393442015e-01 2.366798167436947320e-01
5.892709766162310681e-01 2.514293083401953344e-01
5.933518005540164841e-01 2.631169966084637712e-01
5.974895397489539128e-01 2.723614675947974018e-01
6.016853932584268483e-01 2.842007842258652550e-01
6.059405940594059237e-01 2.535640784598938158e-01
6.102564102564101978e-01 2.617091726272716690e-01
6.146341463414632944e-01 2.559087393142470135e-01
6.190751445086705163e-01 2.586111768066127747e-01
6.235807860262008173e-01 2.606677833072960082e-01
6.281524926686216093e-01 2.614553029530793382e-01
6.327917282127030196e-01 2.628746348036778424e-01
6.374999999999999556e-01 2.646868644596448994e-01
6.422788605697150599e-01 2.661750806704551442e-01
6.471299093655588086e-01 2.672714507969101705e-01
6.520547945205479312e-01 2.683523202158432652e-01
6.570552147239263618e-01 2.698870317786627449e-01
6.621329211746521670e-01 2.723363378918794431e-01
6.672897196261682318e-01 2.760804894136664189e-01
6.725274725274724696e-01 2.811853997573761643e-01
6.778481012658227334e-01 2.871873265469452874e-01
6.832535885167463352e-01 2.932178634423867059e-01
6.887459807073954554e-01 2.984231432589603550e-01
6.943273905996757422e-01 3.022897779514238104e-01
6.999999999999998446e-01 3.046746850652438110e-01
7.057660626029652606e-01 3.056581430699444324e-01
7.116279069767441623e-01 3.053866567389073028e-01
7.175879396984923275e-01 3.040517647228758169e-01
7.236486486486485292e-01 3.017905255062998116e-01
7.298126064735945828e-01 2.986713771519479144e-01
7.360824742268040621e-01 2.947897099637135643e-01
7.424610051993066895e-01 2.902255606038995350e-01
7.489510489510489144e-01 2.850565766582993099e-01
7.555555555555554248e-01 2.793590050065813402e-01
7.622775800711742988e-01 2.732021302322655276e-01
7.691202872531416324e-01 2.666380019459534401e-01
7.760869565217390909e-01 2.596894170323373885e-01
7.831809872029249497e-01 2.523394708063549929e-01
7.904059040590404317e-01 2.445248908677596367e-01
7.977653631284914448e-01 2.361333055150272864e-01
8.052631578947367919e-01 2.270034265358894243e-01
8.129032258064515792e-01 2.169313902949891737e-01
8.206896551724137678e-01 2.057131702639068416e-01
8.286266924564795744e-01 1.934040838847423671e-01
8.367187499999998446e-01 1.822308795294775574e-01
8.449704142011832397e-01 3.814510243997026318e-01
8.533864541832667516e-01 1.194126406568150056e+00
8.619718309859154548e-01 1.431828016785497315e+00
8.707317073170730559e-01 1.299416124564541475e+00
8.796714579055440186e-01 1.316237617650282798e+00
8.887966804979251512e-01 1.173403915727749824e+00
8.981132075471697229e-01 9.897933242040066748e-01
9.076271186440677541e-01 8.100270442306310992e-01
9.173447537473232716e-01 6.279522593326463120e-01
9.272727272727271375e-01 4.727340350262222435e-01
9.374179431072208191e-01 3.800644355315091483e-01
9.477876106194688122e-01 2.928123470486967417e-01
9.583892617449664142e-01 2.183418849799818318e-01
9.692307692307691180e-01 1.669879384667111999e-01
9.803203661327229979e-01 1.345315758247942750e-01
9.916666666666664742e-01 1.197232597358180300e-01
1.003278688524590123e+00 1.189489690211594786e-01
1.015165876777251119e+00 1.286587992627997445e-01
1.027338129496402797e+00 1.466740475241490316e-01
1.039805825242718251e+00 1.716541280870678976e-01
1.052579852579852426e+00 2.029386310825652684e-01
1.065671641791044566e+00 2.404819071856669488e-01
1.079093198992443048e+00 2.842486060661925107e-01
1.092857142857142527e+00 3.333035584069266033e-01
1.106976744186046302e+00 3.852554818733586739e-01
1.121465968586387252e+00 4.365185296862915676e-01
1.136339522546418790e+00 4.833889057758678498e-01
1.151612903225806228e+00 5.235241787881272923e-01
1.167302452316075989e+00 5.572210636050530796e-01
1.183425414364640771e+00 5.879119562817172184e-01
1.199999999999999734e+00 6.215415577070736441e-01
