# wavelength(um)  R_ey
4.499999999999999556e-01 4.240539128085910026e-04
4.523759239704329138e-01 5.605336686681837519e-04
4.547770700636942220e-01 7.033522489626512463e-04
4.572038420490928123e-01 8.510563250326830514e-04
4.596566523605149501e-01 1.003716211693828032e-03
4.621359223300970376e-01 1.162951215803697570e-03
4.646420824295010021e-01 1.331248752689832273e-03
4.671755725190838704e-01 1.511132677656394424e-03
4.697368421052630638e-01 1.705042082628669678e-03
4.723263506063946071e-01 1.914841066436821348e-03
4.749445676274944295e-01 2.141576885493523194e-03
4.775919732441471499e-01 2.385774198523457450e-03
4.802690582959641130e-01 2.647602777679535120e-03
4.829763246899661522e-01 2.927162426892955093e-03
4.857142857142856540e-01 3.224754972744784277e-03
4.884834663625997053e-01 3.541079876913536071e-03
4.912844036697248118e-01 3.877195682686156684e-03
4.941176470588235503e-01 4.234522572360287750e-03
4.969837587006960544e-01 4.614719407736893493e-03
4.998833138856476066e-01 5.019329859943941902e-03
5.028169014084505895e-01 5.449818639975141828e-03
5.057851239669420851e-01 5.908194920916864760e-03
5.087885985748218376e-01 6.396375154363090169e-03
5.118279569892473235e-01 6.918944126073730237e-03
5.149038461538461009e-01 7.481391076731947615e-03
5.180169286577992471e-01 8.087971001545790628e-03
5.211678832116788396e-01 8.713240981438432828e-03
5.243574051407587922e-01 9.240828634265110461e-03
5.275862068965516682e-01 9.246768460773605730e-03
5.308550185873605054e-01 8.030536137645203840e-03
5.341645885286782081e-01 1.779449021639785758e-02
5.375156838143035909e-01 2.293940922533378723e-02
5.409090909090908950e-01 2.691088135476673790e-02
5.443456162642947849e-01 2.573042430985066423e-02
5.478260869565216851e-01 3.567483912336245205e-02
5.513513513513512709e-01 6.864675873966347153e-02
5.549222797927459983e-01 3.157890516221718152e-02
5.585397653194262846e-01 4.535544660543622264e-02
5.622047244094487972e-01 4.456461983661184900e-02
5.659180977542932478e-01 4.742077745697463598e-02
5.696808510638297074e-01 5.180030115076780795e-02
5.734939759036145057e-01 5.666043155653933266e-02
5.773584905660377187e-01 6.257663927603984710e-02
5.812754409769335107e-01 6.946911571446479083e-02
5.852459016393442015e-01 7.661652158160366100e-02
5.892709766162310681e-01 8.337083267307864032e-02
5.933518005540164841e-01 8.958409224909373580e-02
5.974895397489539128e-01 9.567393571696231058e-02
6.016853932584268483e-01 1.027436371183488156e-01
6.059405940594059237e-01 1.219433962809301220e-01
6.102564102564101978e-01 1.351403059439390819e-01
6.146341463414632944e-01 1.380735538386347605e-01
6.190751445086705163e-01 1.467566927697341872e-01
6.235807860262008173e-01 1.531692288681427982e-01
6.281524926686216093e-01 1.591890117673025462e-01
6.327917282127030196e-01 1.666145227286228436e-01
6.374999999999999556e-01 1.744622483426898907e-01
6.422788605697150599e-01 1.817989557233367082e-01
6.471299093655588086e-01 1.885984311337976504e-01
6.520547945205479312e-01 1.950741535657918579e-01
6.570552147239263618e-01 2.011818279493521322e-01
6.621329211746521670e-01 2.066984708764453560e-01
6.672897196261682318e-01 2.114933451432294831e-01
6.725274725274724696e-01 2.156708854276761789e-01
6.778481012658227334e-01 2.195391256048560835e-01
6.832535885167463352e-01 2.234878003814503578e-01
6.887459807073954554e-01 2.278572685575896428e-01
6.943273905996757422e-01 2.328421042718197553e-01
6.999999999999998446e-01 2.384493449025514578e-01
7.057660626029652606e-01 2.445103590391099480e-01
7.116279069767441623e-01 2.507216390885455559e-01
7.175879396984923275e-01 2.567553470839750163e-01
7.236486486486485292e-01 2.622580735029110821e-01
7.298126064735945828e-01 2.668801729248387877e-01
7.360824742268040621e-01 2.703829172782580281e-01
7.424610051993066895e-01 2.726132677757900913e-01
7.489510489510489144e-01 2.735064677140708334e-01
7.555555555555554248e-01 2.730480099251206272e-01
7.622775800711742988e-01 2.711445768645674437e-01
7.691202872531416324e-01 2.672171402234440607e-01
7.760869565217390909e-01 2.626754293609811497e-01
7.831809872029249497e-01 2.618945912880610849e-01
7.904059040590404317e-01 2.576624788260981624e-01
7.977653631284914448e-01 2.557425055404516367e-01
8.052631578947367919e-01 2.524618477892964785e-01
8.129032258064515792e-01 2.490162595882213503e-01
