frequency_index,incident_flux
0,-8.3929656e-08
1,-3.0041485e-07
2,-2.8598564e-07
3,-2.537338e-07
4,-6.2455683e-07
5,-1.2977843e-07
6,-1.0378577e-06
7,-1.1342469e-08
8,-1.3769828e-06
9,-7.5133265e-08
10,-1.446792e-06
11,-5.528896e-07
12,-1.117801e-06
13,-1.6218979e-06
14,-4.875714e-07
15,-3.2466912e-06
16,-1.6599287e-08
17,-5.0466833e-06
18,-5.2307564e-07
19,-6.3061393e-06
20,-2.931561e-06
21,-6.230734e-06
22,-7.764457e-06
23,-4.462299e-06
24,-1.4535571e-05
25,-1.6929605e-06
26,-2.1388882e-05
27,-3.4818594e-08
28,-2.5400777e-05
29,-2.7275448e-06
30,-2.3809114e-05
31,-1.2921161e-05
32,-1.5988178e-05
33,-3.1711643e-05
34,-5.391494e-06
35,-5.6214034e-05
36,-1.869323e-07
37,-7.8939825e-05
38,-1.1379657e-05
39,-8.969081e-05
40,-4.806931e-05
41,-8.031554e-05
42,-0.000111096524
43,-5.1079463e-05
44,-0.00018806227
45,-1.5660702e-05
46,-0.000253513
47,-9.766926e-07
48,-0.00027699358
49,-3.914201e-05
50,-0.0002383241
51,-0.00015219566
52,-0.00014480973
53,-0.00033490206
54,-4.1278367e-05
55,-0.0005447004
56,-3.7590135e-06
57,-0.0007080174
58,-0.00011276741
59,-0.0007469677
60,-0.00041217686
61,-0.00062045135
62,-0.00087042066
63,-0.0003629091
64,-0.0013665581
65,-9.820965e-05
66,-0.0017188274
67,-1.102604e-05
68,-0.0017567814
69,-0.00027465352
70,-0.0014143144
71,-0.000957873
72,-0.00080148503
73,-0.00195302
74,-0.00020974627
75,-0.0029706813
76,-2.5660116e-05
77,-0.0036259098
78,-0.00056879723
79,-0.0036000714
80,-0.0019143737
81,-0.002818284
82,-0.003786646
83,-0.0015557638
84,-0.00559694
85,-0.00039987577
86,-0.006644704
87,-4.866854e-05
88,-0.0064232927
89,-0.0010054214
90,-0.004903108
91,-0.003295353
92,-0.002648456
93,-0.006348454
94,-0.00067692355
95,-0.00914067
96,-7.6892306e-05
97,-0.010576252
98,-0.0015217857
99,-0.009971986
100,-0.00489087
101,-0.007439254
102,-0.009206897
103,-0.003946696
104,-0.012940106
105,-0.0010129883
106,-0.014615534
107,-0.00010216753
108,-0.013465382
109,-0.0019713833
110,-0.009836
111,-0.0062636915
112,-0.00514011
113,-0.011556319
114,-0.0013338807
115,-0.015883788
116,-0.00011686943
117,-0.017538307
118,-0.0021934272
119,-0.015808346
120,-0.0069269626
121,-0.011324703
122,-0.012557374
123,-0.0058433195
124,-0.0169058
125,-0.0015406428
126,-0.018270899
127,-0.00011722462
128,-0.016130714
129,-0.0020959591
130,-0.011347597
131,-0.0066172522
132,-0.0057918695
133,-0.011815152
134,-0.0015562308
135,-0.015602881
136,-0.00010507961
137,-0.016523348
138,-0.0017203495
139,-0.014302916
140,-0.0054616733
141,-0.009891573
142,-0.009626925
143,-0.0050014653
144,-0.012487172
145,-0.0013720316
146,-0.012970748
147,-8.5822685e-05
148,-0.011018762
149,-0.0012124312
150,-0.0074991053
151,-0.0038943335
152,-0.0037614314
153,-0.006791896
154,-0.0010553958
155,-0.008664763
156,-6.52448e-05
157,-0.0088371355
158,-0.00073238346
159,-0.007375198
160,-0.0023954827
161,-0.00494674
162,-0.004143445
163,-0.00246835
164,-0.0052059554
165,-0.00071465457
166,-0.005220192
167,-5.1822422e-05
168,-0.004290303
169,-0.0003779892
170,-0.0028554555
171,-0.001255405
172,-0.0014561665
173,-0.0021442247
174,-0.00051224703
175,-0.0026251276
176,-0.00018978587
177,-0.0025352929
178,0.00019296297
179,-0.0028033117
180,-0.0020926886
181,-0.002273255
182,-0.0021886784
183,-0.00068983994
184,-0.0018134327
185,-0.00037593918
186,-0.0013849593
187,-0.00037794563
188,-0.000961335
189,-0.00047691516
190,-0.0006277223
191,-0.0005456831
192,-0.00039637202
193,-0.0005572341
194,-0.0002457263
195,-0.0005260496
196,-0.00015952764
197,-0.0004626017
198,-0.00012707898
199,-0.0003725497
200,-0.00013225316
201,-0.00026745716
202,-0.00015230564
203,-0.00016621743
204,-0.00016535971
205,-8.7424116e-05
206,-0.00015863017
207,-4.1112988e-05
208,-0.00013149832
209,-2.5621343e-05
210,-9.265841e-05
211,-3.0350762e-05
212,-5.4011256e-05
213,-4.182082e-05
214,-2.4867148e-05
215,-4.9412483e-05
216,-8.919986e-06
217,-4.8351903e-05
218,-4.4650005e-06
219,-3.945317e-05
220,-6.745272e-06
221,-2.6743759e-05
222,-1.0739684e-05
223,-1.4649419e-05
224,-1.3082666e-05
225,-6.051822e-06
226,-1.2638153e-05
227,-1.6958974e-06
228,-9.992737e-06
229,-6.8011656e-07
230,-6.4864325e-06
231,-1.4122746e-06
232,-3.3513745e-06
233,-2.4594165e-06
234,-1.2569953e-06
235,-2.9930509e-06
236,-2.7273504e-07
237,-2.8185816e-06
238,-8.498702e-08
239,-2.1518747e-06
